,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,"Rikitea, PF",-23.12,-134.97,73.0,84.0,67.0,14.32
1,"Catamarca, AR",-28.47,-65.79,89.08,37.0,99.0,4.29
2,"Lebu, CL",-37.62,-73.65,53.89,78.0,53.0,11.41
3,"Christchurch, NZ",-43.53,172.63,48.99,100.0,64.0,4.7
4,"Benjamin Constant, BR",-4.38,-70.03,87.8,74.0,40.0,4.7
5,"Salamiyah, SY",35.01,37.05,71.55,72.0,0.0,11.95
6,"Zambezi, ZM",-13.54,23.1,80.26,16.0,44.0,5.46
8,"Laguna, BR",-28.48,-48.78,72.32,67.0,34.0,10.36
11,"Komsomolskiy, RU",43.98,46.7,67.5,57.0,44.0,14.27
13,"Avarua, CK",-21.21,-159.78,73.4,94.0,97.0,5.82
14,"Elliot Lake, CA",46.38,-82.63,60.8,93.0,90.0,11.41
15,"Ribeira Grande, PT",38.52,-28.7,73.4,60.0,40.0,6.93
16,"Karabash, RU",55.48,60.22,41.43,81.0,0.0,2.17
17,"Dikson, RU",73.51,80.55,43.02,70.0,89.0,27.38
18,"Punta Arenas, CL",-53.15,-70.92,53.6,58.0,99.0,28.86
19,"Barrow, US",71.29,-156.79,30.2,86.0,90.0,14.99
20,"Waipawa, NZ",-41.41,175.52,55.4,71.0,0.0,14.99
21,"Sao Geraldo Do Araguaia, BR",-6.4,-48.55,91.53,47.0,82.0,3.22
22,"Pevek, RU",69.7,170.31,32.61,95.0,91.0,8.1
23,"Albany, AU",-35.02,117.89,57.2,82.0,90.0,17.22
24,"Mar Del Plata, AR",-38.0,-57.56,62.01,100.0,90.0,11.41
25,"San Roque, PH",15.01,120.93,80.6,94.0,75.0,2.24
26,"Busselton, AU",-33.65,115.33,57.0,73.0,1.0,4.32
27,"Romitan, UZ",39.93,64.38,66.2,34.0,0.0,16.11
28,"Kavieng, PG",-2.57,150.8,83.12,68.0,87.0,7.56
29,"Bredasdorp, ZA",-34.53,20.04,53.6,76.0,98.0,11.41
30,"Lagoa, PT",39.05,-27.98,67.69,75.0,26.0,12.68
31,"Araouane, ML",18.9,-3.53,106.92,8.0,0.0,14.79
32,"Saldanha, ZA",-33.01,17.94,57.2,71.0,80.0,10.29
33,"Mount Gambier, AU",-37.83,140.77,44.6,81.0,75.0,16.11
34,"Hornepayne, CA",49.21,-84.77,59.29,79.0,100.0,7.4
35,"Omsukchan, RU",62.53,155.8,34.16,90.0,90.0,4.97
36,"Hermanus, ZA",-34.42,19.23,53.01,78.0,85.0,5.01
37,"Krasnoselkup, RU",65.7,82.47,38.05,83.0,47.0,7.58
39,"Upernavik, GL",72.79,-56.15,23.7,83.0,63.0,13.27
41,"Arraial Do Cabo, BR",-22.97,-42.03,80.6,74.0,20.0,17.22
42,"Ushuaia, AR",-54.8,-68.3,50.0,43.0,75.0,17.22
43,"Katsuura, JP",35.13,140.3,69.8,100.0,75.0,3.36
44,"Fortuna, US",40.6,-124.16,64.99,100.0,1.0,6.93
45,"Port Alfred, ZA",-33.59,26.89,62.31,65.0,21.0,12.33
47,"Esperance, AU",-33.87,121.9,48.2,87.0,33.0,13.87
48,"Ostrovnoy, RU",68.05,39.51,54.64,86.0,46.0,23.89
49,"Novosheshminsk, RU",55.07,51.23,51.75,66.0,81.0,5.46
50,"Carnarvon, AU",-24.87,113.63,68.0,82.0,75.0,16.11
51,"Sinnamary, GF",5.38,-52.95,86.13,64.0,3.0,7.67
52,"Cabo San Lucas, MX",22.89,-109.91,90.0,51.0,5.0,3.36
56,"Jamestown, SH",-15.94,-5.72,61.47,90.0,61.0,19.04
58,"Plettenberg Bay, ZA",-34.05,23.37,57.06,84.0,58.0,18.28
59,"Lompoc, US",34.64,-120.46,64.0,82.0,1.0,4.7
60,"Qaanaaq, GL",77.48,-69.36,17.02,83.0,0.0,4.0
62,"Bambous Virieux, MU",-20.34,57.76,73.4,73.0,40.0,9.17
63,"Komsomolskoye, RU",55.26,47.55,53.8,63.0,100.0,8.14
64,"Esik, KZ",43.36,77.45,46.4,52.0,40.0,4.47
65,"Dormidontovka, RU",47.77,134.91,49.21,94.0,39.0,4.92
66,"Bukachacha, RU",52.98,116.92,44.53,91.0,98.0,4.21
67,"San Cristobal, EC",-0.9,-89.62,75.2,78.0,40.0,16.11
68,"Tiksi, RU",71.69,128.87,41.18,67.0,6.0,10.25
69,"Pospelikha, RU",51.95,81.77,42.64,90.0,81.0,6.2
70,"Sitka, US",57.05,-135.33,50.0,87.0,75.0,2.77
71,"Falmouth, GB",50.15,-5.07,55.4,76.0,3.0,18.34
72,"West Wendover, US",40.74,-114.07,64.4,36.0,1.0,5.82
73,"Idlib, SY",35.93,36.63,82.4,54.0,40.0,8.05
74,"Bagdarin, RU",54.43,113.6,43.07,90.0,100.0,3.49
76,"Bluff, NZ",-46.6,168.33,42.01,91.0,99.0,11.52
77,"Kahului, US",20.89,-156.47,77.0,69.0,40.0,10.29
78,"Tura, RU",64.28,100.25,36.81,81.0,0.0,3.8
79,"Kapaa, US",22.08,-159.32,80.6,74.0,20.0,14.99
80,"Vaini, TO",-21.2,-175.2,71.6,88.0,40.0,6.93
